"Артикул";"Товар";"Цена";"Категория";"Вариант";"Описание";"Адрес";"Изображения";"Описание";"Склад"
KSCWW-L;"Укороченные вейдерсы Kola Salmon  Concept Waist Waders";8860;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Укороченные вейдерсы Concept Waist Waders L";"Доставка в течение 3-5 дней";ukorochennye-veidersy-kola-salmon--concept-waist-waders;;"Доставка в течение 3-5 дней";20
KSCWW-M;"Укороченные вейдерсы Kola Salmon  Concept Waist Waders";8860;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Укороченные вейдерсы Concept Waist Waders M";"Доставка в течение 3-5 дней";ukorochennye-veidersy-kola-salmon--concept-waist-waders;;"Доставка в течение 3-5 дней";20
KSCWW-S;"Укороченные вейдерсы Kola Salmon  Concept Waist Waders";8860;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Укороченные вейдерсы Concept Waist Waders S";"Доставка в течение 3-5 дней";ukorochennye-veidersy-kola-salmon--concept-waist-waders;;"Доставка в течение 3-5 дней";20
KSCWW-XL;"Укороченные вейдерсы Kola Salmon  Concept Waist Waders";8860;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Укороченные вейдерсы Concept Waist Waders XL";"Доставка в течение 3-5 дней";ukorochennye-veidersy-kola-salmon--concept-waist-waders;;"Доставка в течение 3-5 дней";20
KSCWW-XXL;"Укороченные вейдерсы Kola Salmon  Concept Waist Waders";8860;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Укороченные вейдерсы Concept Waist Waders XXL";"Доставка в течение 3-5 дней";ukorochennye-veidersy-kola-salmon--concept-waist-waders;;"Доставка в течение 3-5 дней";20
KSCW-L;"Вейдерсы Kola Salmon  Concept Waders";9543;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Вейдерсы Concept Waders L";"Доставка в течение 3-5 дней";veidersy-kola-salmon--concept-waders;;"Доставка в течение 3-5 дней";20
KSCW-LS;"Вейдерсы Kola Salmon  Concept Waders";9543;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Вейдерсы Concept Waders LS";"Доставка в течение 3-5 дней";veidersy-kola-salmon--concept-waders;;"Доставка в течение 3-5 дней";17
KSCW-M;"Вейдерсы Kola Salmon  Concept Waders";9543;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Вейдерсы Concept Waders M";"Доставка в течение 3-5 дней";veidersy-kola-salmon--concept-waders;;"Доставка в течение 3-5 дней";20
KSCW-S;"Вейдерсы Kola Salmon  Concept Waders";9543;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Вейдерсы Concept Waders S";"Доставка в течение 3-5 дней";veidersy-kola-salmon--concept-waders;;"Доставка в течение 3-5 дней";10
KSCW-XL;"Вейдерсы Kola Salmon  Concept Waders";9543;"Экипировка/Вейдерсы/Вейдерсы KOLA SALMON";"KOLA SALMON Вейдерсы Concept Waders XL";"Доставка в течение 3-5 дней";veidersy-kola-salmon--concept-waders;;"Доставка в течение 3-5 дней";20
